productid,productName,subCategory,size,finalPrice,image_url,comb,available
1626,Garnier Brown Black,Mehandi,1 pkt,39,http://143.110.186.55:8080/vf-api/android/productImage/Garnier Brown Black/jpg,garnier brown black mehandi,yes
1627,Nisha Natural Black ,Mehandi,1 pkt,15,http://143.110.186.55:8080/vf-api/android/productImage/Nisha Natural Black/jpg,nisha natural black  mehandi,yes
1628,Godrej Nupur Henna ,Mehandi,1 pkt,15,http://143.110.186.55:8080/vf-api/android/productImage/Godrej Nupur Henna/jpg,godrej nupur henna  mehandi,yes
1629,Streax Insta Natural Black,Mehandi,1 pkt,20,http://143.110.186.55:8080/vf-api/android/productImage/Streax Insta/jpg,streax insta natural black mehandi,yes
1630,Indica Natural Black,Mehandi,1 Box,160,http://143.110.186.55:8080/vf-api/android/productImage/Indica Natural Black/jpg,indica natural black mehandi,yes
1631,Harpic Bathroom Cleaner Lemon,Toilet & Floor Cleaner,500 ml,99,http://143.110.186.55:8080/vf-api/android/productImage/Harpic Bathroom Cleaner/jpg,harpic bathroom cleaner lemon toilet & floor cleaner,yes
1632,Lizol Floral ,Toilet & Floor Cleaner,200 ml,38,http://143.110.186.55:8080/vf-api/android/productImage/Lizol Floral/jpeg,lizol floral  toilet & floor cleaner,yes
1633,Lizol Citrus,Toilet & Floor Cleaner,200 ml,38,http://143.110.186.55:8080/vf-api/android/productImage/Lizol Citrus/jpg,lizol citrus toilet & floor cleaner,yes
1634,Lizol Citrus,Toilet & Floor Cleaner,500 ml,98,http://143.110.186.55:8080/vf-api/android/productImage/Lizol Citrus/jpg,lizol citrus toilet & floor cleaner,yes
1635,Lizol Floral ,Toilet & Floor Cleaner,500 ml,103,http://143.110.186.55:8080/vf-api/android/productImage/Lizol Floral/jpeg,lizol floral  toilet & floor cleaner,yes
1636,Lizol Jasmine,Toilet & Floor Cleaner,500 ml,98,http://143.110.186.55:8080/vf-api/android/productImage/Lizol Jasmine/jpg,lizol jasmine toilet & floor cleaner,yes
1637,Dettol Antiseptic Liquid ,Toilet & Floor Cleaner,250 ml,116,http://143.110.186.55:8080/vf-api/android/productImage/Dettol Antiseptic Liquid/jpg,dettol antiseptic liquid  toilet & floor cleaner,yes
1638,Nivea Men Dark Spot,Face Wash,50 gm,99,http://143.110.186.55:8080/vf-api/android/productImage/Nivea Men Dark Spot/jpg,nivea men dark spot face wash,yes
1639,Nivea Men Oil Control,Face Wash,50 gm,99,http://143.110.186.55:8080/vf-api/android/productImage/Nivea Men Oil Control/png,nivea men oil control face wash,yes
1640,Garnier Men Acno Fight,Face Wash,50 gm,99,http://143.110.186.55:8080/vf-api/android/productImage/Garnier Men Acno Fight/jpeg,garnier men acno fight face wash,yes
1641,Garnier Men Turbo Bright,Face Wash,50 gm,99,http://143.110.186.55:8080/vf-api/android/productImage/Garnier Men Turbo Bright/jpg,garnier men turbo bright face wash,yes
1642,Pond's Pure Detox,Face Wash,50 gm,99,http://143.110.186.55:8080/vf-api/android/productImage/Ponds Pure Detox/jpg,pond's pure detox face wash,yes
1649,Clinic Plus+,Shampoo & Conditioner,1 pkt,1,http://143.110.186.55:8080/vf-api/android/productImage/Clinic Plus +/jpeg,clinic plus+ shampoo & conditioner,yes
1650,Dove Hair Fall Rescue Shampoo,Shampoo & Conditioner,80 ml,68,http://143.110.186.55:8080/vf-api/android/productImage/Dove Hair Fall Rescue/jpg,dove hair fall rescue shampoo shampoo & conditioner,yes
1651,Dove Dryness Care Shampoo,Shampoo & Conditioner,80 ml,68,http://143.110.186.55:8080/vf-api/android/productImage/Dove Dryness Care/jpg,dove dryness care shampoo shampoo & conditioner,yes
1652,Dove Dandruff Care ,Shampoo & Conditioner,80 ml,71,http://143.110.186.55:8080/vf-api/android/productImage/Dove Anti Dandruff/jpg,dove dandruff care  shampoo & conditioner,yes
1653,Dove Intense Repair,Shampoo & Conditioner,80 ml,68,http://143.110.186.55:8080/vf-api/android/productImage/Dove Intense Repair/jpg,dove intense repair shampoo & conditioner,yes
1654,Dove Dryness Care Conditioner,Shampoo & Conditioner,80 ml,90,http://143.110.186.55:8080/vf-api/android/productImage/Dove Dryness Care Conditioner/jpg,dove dryness care conditioner shampoo & conditioner,yes
1655,Dove Intense Repair ,Shampoo & Conditioner,75 ml,90,http://143.110.186.55:8080/vf-api/android/productImage/Dove Intense Repair/jpg,dove intense repair  shampoo & conditioner,yes
1656,Clinic Plus Strong & Long,Shampoo & Conditioner,80 ml,52,http://143.110.186.55:8080/vf-api/android/productImage/Clinic Plus/jpg,clinic plus strong & long shampoo & conditioner,yes
1657,TRESemme ,Shampoo & Conditioner,85 ml,55,http://143.110.186.55:8080/vf-api/android/productImage/TRESemme/jpg,tresemme  shampoo & conditioner,yes
1658,TRESemme Keratin Smooth,Shampoo & Conditioner,85 ml,70,http://143.110.186.55:8080/vf-api/android/productImage/TRESemme Keratin Sooth/jpg,tresemme keratin smooth shampoo & conditioner,yes
1659,Sunsilk Black & Shine,Shampoo & Conditioner,80 ml,58,http://143.110.186.55:8080/vf-api/android/productImage/Sunsilk Shampoo/jpg,sunsilk black & shine shampoo & conditioner,yes
1660,KS Spark  Deo,Deo,150 ml,142,http://143.110.186.55:8080/vf-api/android/productImage/KS SPARK/jpeg,ks spark  deo deo,yes
1661,Chilli Powder ,Spices,100 gm,33,http://143.110.186.55:8080/vf-api/android/productImage/Chilli Powder/jpg,chilli powder  spices,yes
1662,Chilli Powder ,Spices,200 gm,64,http://143.110.186.55:8080/vf-api/android/productImage/Chilli Powder/jpg,chilli powder  spices,yes
1663,Chilli Powder ,Spices,500 gm,158,http://143.110.186.55:8080/vf-api/android/productImage/Chilli Powder/jpg,chilli powder  spices,yes
1664,Coriander Powder ,Spices,100 gm,30,http://143.110.186.55:8080/vf-api/android/productImage/Coriander Powder/jpg,coriander powder  spices,yes
1665,Coriander Powder ,Spices,200 gm,52,http://143.110.186.55:8080/vf-api/android/productImage/Coriander Powder/jpg,coriander powder  spices,yes
1666,Coriander Powder ,Spices,50 gm,15,http://143.110.186.55:8080/vf-api/android/productImage/Coriander Powder/jpg,coriander powder  spices,yes
